category,slug,status,detail
Utilidad,item-filters,OK,"Project "Item Filters" successfully added! (item-filters-forge-2001.1.0-build.53.jar)"
Utilidad,shulker-box-tooltip,OK,"Project "Shulker Box Tooltip" successfully added! (shulkerboxtooltip-forge-4.0.4+1.20.1.jar)"
Utilidad,expanded-storage,FAIL,"Searching Modrinth... Failed to add project: no projects found "
Utilidad,reap-mod,OK,"Project "Reap Mod" successfully added! (reap-forge-1.20.1-1.1.2.jar)"
Utilidad,structure-compass,OK,"Project "Structure Compass" successfully added! (StructureCompass-1.20.1-2.3.0.jar)"
Utilidad,justzoom,FAIL,"Searching Modrinth... Failed to add project: no projects found "
Utilidad,not-enough-animations,OK,"Project "Not Enough Animations" successfully added! (notenoughanimations-forge-1.12.6-mc1.20.1.jar)"
Utilidad,slice-and-splice,FAIL,"Searching Modrinth... Failed to add project: no projects found "
Utilidad,toms-storage,OK,"Project "Tom's Simple Storage Mod" successfully added! (toms_storage-1.20-1.7.1.jar)"
Utilidad,farsight,OK,"Project "Farsighted Mobs" successfully added! (farsighted-mobs-forge-1.1-1.20.1.jar)"
Utilidad,chunky,OK,"Project "Chunky" successfully added! (Chunky-1.3.146.jar)"
Utilidad,bookshelf,FAIL,"Failed to add project: failed to get latest version: no valid versions found 	Use the 'packwiz settings acceptable-versions' command to accept more game versions 	To use datapacks; add a datapack loader mod and specify the datapack-folder option with the folder this mod loads datapacks from "
Utilidad,cloth-config,OK,"Project "Cloth Config API" successfully added! (cloth-config-11.1.136-forge.jar)"
Utilidad,curios,OK,"Project "Curios API" successfully added! (curios-forge-5.14.1+1.20.1.jar)"
Utilidad,geckolib,OK,"Project "Geckolib" successfully added! (geckolib-neoforge-1.20.1-4.4.9.jar)"
Utilidad,kotlin-for-forge,OK,"Project "Kotlin for Forge" successfully added! (kotlinforforge-4.12.0-all.jar)"
Utilidad,forge-config-api-port,FAIL,"Failed to add project: failed to get latest version: no valid versions found 	Use the 'packwiz settings acceptable-versions' command to accept more game versions 	To use datapacks; add a datapack loader mod and specify the datapack-folder option with the folder this mod loads datapacks from "
Utilidad,yungs-api,OK,"Project "YUNG's API" successfully added! (YungsApi-1.20-Forge-4.0.6.jar)"
Utilidad,balm,OK,"Project "Balm" successfully added! (balm-forge-1.20.1-7.3.43.jar)"
Tecnologia,mekanism,OK,"Project "Mekanism" successfully added! (Mekanism-1.20.1-10.4.16.80.jar)"
Tecnologia,mekanism-generators,OK,"Project "Mekanism Generators" successfully added! (MekanismGenerators-1.20.1-10.4.16.80.jar)"
Tecnologia,mekanism-tools,OK,"Project "Mekanism Tools" successfully added! (MekanismTools-1.20.1-10.4.16.80.jar)"
Tecnologia,applied-energistics-2,OK,"Project "Applied Energistics 2" successfully added! (appliedenergistics2-forge-15.0.6-beta.jar)"
Tecnologia,immersive-engineering,OK,"Project "Immersive Engineering" successfully added! (ImmersiveEngineering-1.20.1-10.2.0-183.jar)"
